line_item,period,value,symbol
Other Operating Expenses,2021-03-31 00:00:00,64099000.0,SAKAR.NS
Depreciation And Amortization In Income Statement,2021-03-31 00:00:00,80583000.0,SAKAR.NS
Amortization,2021-03-31 00:00:00,25498579.0,SAKAR.NS
Depreciation Income Statement,2021-03-31 00:00:00,80583000.0,SAKAR.NS
Research And Development,2021-03-31 00:00:00,121000.0,SAKAR.NS
Selling General And Administration,2021-03-31 00:00:00,9487000.0,SAKAR.NS
Selling And Marketing Expense,2021-03-31 00:00:00,55000.0,SAKAR.NS
General And Administrative Expense,2021-03-31 00:00:00,9432000.0,SAKAR.NS
Gross Profit,2021-03-31 00:00:00,432460000.0,SAKAR.NS
Cost Of Revenue,2021-03-31 00:00:00,514933000.0,SAKAR.NS
Total Revenue,2021-03-31 00:00:00,947393000.0,SAKAR.NS
Operating Revenue,2021-03-31 00:00:00,947393000.0,SAKAR.NS
