line_item,period,value,symbol
Otherunder Preferred Stock Dividend,2021-03-31 00:00:00,0.0,SPCL.NS
Net Income,2021-03-31 00:00:00,6728000.0,SPCL.NS
Net Income Including Noncontrolling Interests,2021-03-31 00:00:00,6728000.0,SPCL.NS
Net Income Continuous Operations,2021-03-31 00:00:00,6728000.0,SPCL.NS
Tax Provision,2021-03-31 00:00:00,4322000.0,SPCL.NS
Pretax Income,2021-03-31 00:00:00,11050000.0,SPCL.NS
Other Non Operating Income Expenses,2021-03-31 00:00:00,820000.0,SPCL.NS
Special Income Charges,2021-03-31 00:00:00,-1667000.0,SPCL.NS
Other Special Charges,2021-03-31 00:00:00,,SPCL.NS
Write Off,2021-03-31 00:00:00,1667000.0,SPCL.NS
Net Non Operating Interest Income Expense,2021-03-31 00:00:00,-27221000.0,SPCL.NS
Total Other Finance Cost,2021-03-31 00:00:00,3874000.0,SPCL.NS
Interest Expense Non Operating,2021-03-31 00:00:00,24083000.0,SPCL.NS
Interest Income Non Operating,2021-03-31 00:00:00,736000.0,SPCL.NS
Operating Income,2021-03-31 00:00:00,39118000.0,SPCL.NS
Operating Expense,2021-03-31 00:00:00,46453000.0,SPCL.NS
Other Operating Expenses,2021-03-31 00:00:00,5096000.0,SPCL.NS
Depreciation And Amortization In Income Statement,2021-03-31 00:00:00,12747000.0,SPCL.NS
Depreciation Income Statement,2021-03-31 00:00:00,12747000.0,SPCL.NS
Selling General And Administration,2021-03-31 00:00:00,6886000.0,SPCL.NS
Selling And Marketing Expense,2021-03-31 00:00:00,2257000.0,SPCL.NS
General And Administrative Expense,2021-03-31 00:00:00,4629000.0,SPCL.NS
Rent And Landing Fees,2021-03-31 00:00:00,0.0,SPCL.NS
Gross Profit,2021-03-31 00:00:00,85571000.0,SPCL.NS
Cost Of Revenue,2021-03-31 00:00:00,436673000.0,SPCL.NS
Total Revenue,2021-03-31 00:00:00,522244000.0,SPCL.NS
Operating Revenue,2021-03-31 00:00:00,522244000.0,SPCL.NS
