line_item,period,value,symbol
Basic Average Shares,2021-03-31 00:00:00,16422000.0,ANNAPURNA.NS
Diluted EPS,2021-03-31 00:00:00,0.311351,ANNAPURNA.NS
Basic EPS,2021-03-31 00:00:00,0.311351,ANNAPURNA.NS
Diluted NI Availto Com Stockholders,2021-03-31 00:00:00,5113000.0,ANNAPURNA.NS
Net Income Common Stockholders,2021-03-31 00:00:00,5113000.0,ANNAPURNA.NS
Otherunder Preferred Stock Dividend,2021-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Income,2021-03-31 00:00:00,5113000.0,ANNAPURNA.NS
Net Income Including Noncontrolling Interests,2021-03-31 00:00:00,5113000.0,ANNAPURNA.NS
Net Income Discontinuous Operations,2021-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Income Continuous Operations,2021-03-31 00:00:00,5113000.0,ANNAPURNA.NS
Tax Provision,2021-03-31 00:00:00,2819000.0,ANNAPURNA.NS
Pretax Income,2021-03-31 00:00:00,7932000.0,ANNAPURNA.NS
Other Non Operating Income Expenses,2021-03-31 00:00:00,53000.0,ANNAPURNA.NS
Special Income Charges,2021-03-31 00:00:00,0.0,ANNAPURNA.NS
Net Non Operating Interest Income Expense,2021-03-31 00:00:00,-2370000.0,ANNAPURNA.NS
Total Other Finance Cost,2021-03-31 00:00:00,423000.0,ANNAPURNA.NS
Interest Expense Non Operating,2021-03-31 00:00:00,1962000.0,ANNAPURNA.NS
Interest Income Non Operating,2021-03-31 00:00:00,15000.0,ANNAPURNA.NS
Operating Income,2021-03-31 00:00:00,10248000.0,ANNAPURNA.NS
Operating Expense,2021-03-31 00:00:00,27019000.0,ANNAPURNA.NS
Other Operating Expenses,2021-03-31 00:00:00,1286000.0,ANNAPURNA.NS
Depreciation And Amortization In Income Statement,2021-03-31 00:00:00,4513000.0,ANNAPURNA.NS
Amortization,2021-03-31 00:00:00,0.0,ANNAPURNA.NS
Depreciation Income Statement,2021-03-31 00:00:00,4513000.0,ANNAPURNA.NS
Selling General And Administration,2021-03-31 00:00:00,11465000.0,ANNAPURNA.NS
Selling And Marketing Expense,2021-03-31 00:00:00,9965000.0,ANNAPURNA.NS
General And Administrative Expense,2021-03-31 00:00:00,1500000.0,ANNAPURNA.NS
Rent And Landing Fees,2021-03-31 00:00:00,1122000.0,ANNAPURNA.NS
Gross Profit,2021-03-31 00:00:00,37267000.0,ANNAPURNA.NS
Cost Of Revenue,2021-03-31 00:00:00,165664000.0,ANNAPURNA.NS
Total Revenue,2021-03-31 00:00:00,202931000.0,ANNAPURNA.NS
Operating Revenue,2021-03-31 00:00:00,202931000.0,ANNAPURNA.NS
