line_item,period,value,symbol
Selling General And Administration,2022-03-31 00:00:00,52144000.0,PRECISION.NS
Selling And Marketing Expense,2022-03-31 00:00:00,0.0,PRECISION.NS
General And Administrative Expense,2022-03-31 00:00:00,52144000.0,PRECISION.NS
Rent And Landing Fees,2022-03-31 00:00:00,7793000.0,PRECISION.NS
Gross Profit,2022-03-31 00:00:00,136421000.0,PRECISION.NS
Cost Of Revenue,2022-03-31 00:00:00,1119546000.0,PRECISION.NS
Total Revenue,2022-03-31 00:00:00,1255967000.0,PRECISION.NS
Operating Revenue,2022-03-31 00:00:00,1255967000.0,PRECISION.NS
Tax Effect Of Unusual Items,2021-03-31 00:00:00,0.0,PRECISION.NS
Tax Rate For Calcs,2021-03-31 00:00:00,0.011972,PRECISION.NS
Normalized EBITDA,2021-03-31 00:00:00,16386000.0,PRECISION.NS
Total Unusual Items,2021-03-31 00:00:00,0.0,PRECISION.NS
Total Unusual Items Excluding Goodwill,2021-03-31 00:00:00,0.0,PRECISION.NS
Net Income From Continuing Operation Net Minority Interest,2021-03-31 00:00:00,14936000.0,PRECISION.NS
Reconciled Depreciation,2021-03-31 00:00:00,1237000.0,PRECISION.NS
Reconciled Cost Of Revenue,2021-03-31 00:00:00,426789000.0,PRECISION.NS
EBITDA,2021-03-31 00:00:00,16386000.0,PRECISION.NS
EBIT,2021-03-31 00:00:00,15149000.0,PRECISION.NS
Net Interest Income,2021-03-31 00:00:00,-100000.0,PRECISION.NS
Interest Expense,2021-03-31 00:00:00,31000.0,PRECISION.NS
Interest Income,2021-03-31 00:00:00,4000.0,PRECISION.NS
Normalized Income,2021-03-31 00:00:00,14936000.0,PRECISION.NS
Net Income From Continuing And Discontinued Operation,2021-03-31 00:00:00,14936000.0,PRECISION.NS
Total Expenses,2021-03-31 00:00:00,477191000.0,PRECISION.NS
Rent Expense Supplemental,2021-03-31 00:00:00,7879000.0,PRECISION.NS
Diluted Average Shares,2021-03-31 00:00:00,16259066.0,PRECISION.NS
Basic Average Shares,2021-03-31 00:00:00,16259066.0,PRECISION.NS
Diluted EPS,2021-03-31 00:00:00,0.918626,PRECISION.NS
Basic EPS,2021-03-31 00:00:00,0.918626,PRECISION.NS
Diluted NI Availto Com Stockholders,2021-03-31 00:00:00,14936000.0,PRECISION.NS
Net Income Common Stockholders,2021-03-31 00:00:00,14936000.0,PRECISION.NS
Otherunder Preferred Stock Dividend,2021-03-31 00:00:00,0.0,PRECISION.NS
Net Income,2021-03-31 00:00:00,14936000.0,PRECISION.NS
Net Income Including Noncontrolling Interests,2021-03-31 00:00:00,14936000.0,PRECISION.NS
Net Income Extraordinary,2021-03-31 00:00:00,0.0,PRECISION.NS
Net Income Discontinuous Operations,2021-03-31 00:00:00,0.0,PRECISION.NS
Net Income Continuous Operations,2021-03-31 00:00:00,14936000.0,PRECISION.NS
Tax Provision,2021-03-31 00:00:00,181000.0,PRECISION.NS
Pretax Income,2021-03-31 00:00:00,15118000.0,PRECISION.NS
Other Non Operating Income Expenses,2021-03-31 00:00:00,5000.0,PRECISION.NS
Special Income Charges,2021-03-31 00:00:00,0.0,PRECISION.NS
Net Non Operating Interest Income Expense,2021-03-31 00:00:00,-100000.0,PRECISION.NS
Total Other Finance Cost,2021-03-31 00:00:00,73000.0,PRECISION.NS
Interest Expense Non Operating,2021-03-31 00:00:00,31000.0,PRECISION.NS
Interest Income Non Operating,2021-03-31 00:00:00,4000.0,PRECISION.NS
Operating Income,2021-03-31 00:00:00,15213000.0,PRECISION.NS
Operating Expense,2021-03-31 00:00:00,50402000.0,PRECISION.NS
Other Operating Expenses,2021-03-31 00:00:00,182000.0,PRECISION.NS
Depreciation And Amortization In Income Statement,2021-03-31 00:00:00,1237000.0,PRECISION.NS
Depreciation Income Statement,2021-03-31 00:00:00,1237000.0,PRECISION.NS
Selling General And Administration,2021-03-31 00:00:00,15256000.0,PRECISION.NS
Selling And Marketing Expense,2021-03-31 00:00:00,0.0,PRECISION.NS
General And Administrative Expense,2021-03-31 00:00:00,15256000.0,PRECISION.NS
Rent And Landing Fees,2021-03-31 00:00:00,7879000.0,PRECISION.NS
Gross Profit,2021-03-31 00:00:00,65615000.0,PRECISION.NS
Cost Of Revenue,2021-03-31 00:00:00,426789000.0,PRECISION.NS
Total Revenue,2021-03-31 00:00:00,492404000.0,PRECISION.NS
Operating Revenue,2021-03-31 00:00:00,492404000.0,PRECISION.NS
