line_item,period,value,symbol
Interest Expense,2022-03-31 00:00:00,5389000.0,AJOONI.NS
Interest Income,2022-03-31 00:00:00,6000.0,AJOONI.NS
Normalized Income,2022-03-31 00:00:00,12363651.495449,AJOONI.NS
Net Income From Continuing And Discontinued Operation,2022-03-31 00:00:00,10488000.0,AJOONI.NS
Total Expenses,2022-03-31 00:00:00,718135000.0,AJOONI.NS
Rent Expense Supplemental,2022-03-31 00:00:00,1261000.0,AJOONI.NS
Diluted Average Shares,2022-03-31 00:00:00,64999850.0,AJOONI.NS
Basic Average Shares,2022-03-31 00:00:00,64999850.0,AJOONI.NS
Diluted EPS,2022-03-31 00:00:00,0.163246,AJOONI.NS
Basic EPS,2022-03-31 00:00:00,0.163246,AJOONI.NS
Diluted NI Availto Com Stockholders,2022-03-31 00:00:00,10488000.0,AJOONI.NS
Net Income Common Stockholders,2022-03-31 00:00:00,10488000.0,AJOONI.NS
Otherunder Preferred Stock Dividend,2022-03-31 00:00:00,0.0,AJOONI.NS
Net Income,2022-03-31 00:00:00,10488000.0,AJOONI.NS
Net Income Including Noncontrolling Interests,2022-03-31 00:00:00,10488000.0,AJOONI.NS
Net Income Discontinuous Operations,2022-03-31 00:00:00,0.0,AJOONI.NS
Net Income Continuous Operations,2022-03-31 00:00:00,10488000.0,AJOONI.NS
Tax Provision,2022-03-31 00:00:00,4123000.0,AJOONI.NS
Pretax Income,2022-03-31 00:00:00,14611000.0,AJOONI.NS
Other Non Operating Income Expenses,2022-03-31 00:00:00,376000.0,AJOONI.NS
Special Income Charges,2022-03-31 00:00:00,-2613000.0,AJOONI.NS
Other Special Charges,2022-03-31 00:00:00,114000.0,AJOONI.NS
Write Off,2022-03-31 00:00:00,2499000.0,AJOONI.NS
Net Non Operating Interest Income Expense,2022-03-31 00:00:00,-5394000.0,AJOONI.NS
Total Other Finance Cost,2022-03-31 00:00:00,11000.0,AJOONI.NS
Interest Expense Non Operating,2022-03-31 00:00:00,5389000.0,AJOONI.NS
Interest Income Non Operating,2022-03-31 00:00:00,6000.0,AJOONI.NS
Operating Income,2022-03-31 00:00:00,22243000.0,AJOONI.NS
Operating Expense,2022-03-31 00:00:00,78001000.0,AJOONI.NS
Other Operating Expenses,2022-03-31 00:00:00,19023000.0,AJOONI.NS
Depreciation And Amortization In Income Statement,2022-03-31 00:00:00,9700000.0,AJOONI.NS
Depreciation Income Statement,2022-03-31 00:00:00,9700000.0,AJOONI.NS
Research And Development,2022-03-31 00:00:00,498000.0,AJOONI.NS
Selling General And Administration,2022-03-31 00:00:00,28805000.0,AJOONI.NS
Selling And Marketing Expense,2022-03-31 00:00:00,25258000.0,AJOONI.NS
General And Administrative Expense,2022-03-31 00:00:00,3547000.0,AJOONI.NS
Rent And Landing Fees,2022-03-31 00:00:00,1261000.0,AJOONI.NS
Gross Profit,2022-03-31 00:00:00,100244000.0,AJOONI.NS
Cost Of Revenue,2022-03-31 00:00:00,640134000.0,AJOONI.NS
Total Revenue,2022-03-31 00:00:00,740378000.0,AJOONI.NS
Operating Revenue,2022-03-31 00:00:00,740378000.0,AJOONI.NS
