line_item,period,value,symbol
Rent And Landing Fees,2022-03-31 00:00:00,877000.0,SARTELE.NS
Gross Profit,2022-03-31 00:00:00,17306000.0,SARTELE.NS
Cost Of Revenue,2022-03-31 00:00:00,25283000.0,SARTELE.NS
Total Revenue,2022-03-31 00:00:00,42589000.0,SARTELE.NS
Operating Revenue,2022-03-31 00:00:00,42589000.0,SARTELE.NS
Tax Effect Of Unusual Items,2021-03-31 00:00:00,-7800.0,SARTELE.NS
Tax Rate For Calcs,2021-03-31 00:00:00,0.3,SARTELE.NS
Normalized EBITDA,2021-03-31 00:00:00,1104000.0,SARTELE.NS
Total Unusual Items,2021-03-31 00:00:00,-26000.0,SARTELE.NS
Total Unusual Items Excluding Goodwill,2021-03-31 00:00:00,-26000.0,SARTELE.NS
Net Income From Continuing Operation Net Minority Interest,2021-03-31 00:00:00,-271000.0,SARTELE.NS
Reconciled Depreciation,2021-03-31 00:00:00,974000.0,SARTELE.NS
Reconciled Cost Of Revenue,2021-03-31 00:00:00,4179000.0,SARTELE.NS
EBITDA,2021-03-31 00:00:00,1078000.0,SARTELE.NS
EBIT,2021-03-31 00:00:00,104000.0,SARTELE.NS
Net Interest Income,2021-03-31 00:00:00,-369000.0,SARTELE.NS
Interest Expense,2021-03-31 00:00:00,367000.0,SARTELE.NS
Interest Income,2021-03-31 00:00:00,0.0,SARTELE.NS
Normalized Income,2021-03-31 00:00:00,-252800.0,SARTELE.NS
Net Income From Continuing And Discontinued Operation,2021-03-31 00:00:00,-271000.0,SARTELE.NS
Total Expenses,2021-03-31 00:00:00,8939000.0,SARTELE.NS
Rent Expense Supplemental,2021-03-31 00:00:00,2608000.0,SARTELE.NS
Diluted Average Shares,2021-03-31 00:00:00,17321711.0,SARTELE.NS
Basic Average Shares,2021-03-31 00:00:00,17321711.0,SARTELE.NS
Diluted EPS,2021-03-31 00:00:00,-0.015645,SARTELE.NS
Basic EPS,2021-03-31 00:00:00,-0.015645,SARTELE.NS
Diluted NI Availto Com Stockholders,2021-03-31 00:00:00,-271000.0,SARTELE.NS
Net Income Common Stockholders,2021-03-31 00:00:00,-271000.0,SARTELE.NS
Otherunder Preferred Stock Dividend,2021-03-31 00:00:00,0.0,SARTELE.NS
Net Income,2021-03-31 00:00:00,-271000.0,SARTELE.NS
Minority Interests,2021-03-31 00:00:00,0.0,SARTELE.NS
Net Income Including Noncontrolling Interests,2021-03-31 00:00:00,-271000.0,SARTELE.NS
Net Income Continuous Operations,2021-03-31 00:00:00,-271000.0,SARTELE.NS
Tax Provision,2021-03-31 00:00:00,8000.0,SARTELE.NS
Pretax Income,2021-03-31 00:00:00,-263000.0,SARTELE.NS
Other Non Operating Income Expenses,2021-03-31 00:00:00,,SARTELE.NS
Special Income Charges,2021-03-31 00:00:00,-26000.0,SARTELE.NS
Write Off,2021-03-31 00:00:00,26000.0,SARTELE.NS
Net Non Operating Interest Income Expense,2021-03-31 00:00:00,-369000.0,SARTELE.NS
Total Other Finance Cost,2021-03-31 00:00:00,2000.0,SARTELE.NS
Interest Expense Non Operating,2021-03-31 00:00:00,367000.0,SARTELE.NS
Interest Income Non Operating,2021-03-31 00:00:00,0.0,SARTELE.NS
Operating Income,2021-03-31 00:00:00,132000.0,SARTELE.NS
Operating Expense,2021-03-31 00:00:00,4760000.0,SARTELE.NS
Other Operating Expenses,2021-03-31 00:00:00,77000.0,SARTELE.NS
Depreciation And Amortization In Income Statement,2021-03-31 00:00:00,974000.0,SARTELE.NS
Depreciation Income Statement,2021-03-31 00:00:00,974000.0,SARTELE.NS
Selling General And Administration,2021-03-31 00:00:00,147000.0,SARTELE.NS
Selling And Marketing Expense,2021-03-31 00:00:00,10000.0,SARTELE.NS
General And Administrative Expense,2021-03-31 00:00:00,137000.0,SARTELE.NS
Rent And Landing Fees,2021-03-31 00:00:00,74000.0,SARTELE.NS
Gross Profit,2021-03-31 00:00:00,4892000.0,SARTELE.NS
Cost Of Revenue,2021-03-31 00:00:00,4179000.0,SARTELE.NS
Total Revenue,2021-03-31 00:00:00,9071000.0,SARTELE.NS
Operating Revenue,2021-03-31 00:00:00,9071000.0,SARTELE.NS
